Date,WJ,CITIC,GY,EB,SH,BJ,ID(XY),CS,NJ,HZ,JS,WX,Merchants,MS,HX,PD,BOC,HS,CRCB,BANKCOMM,JY,NB,PSBC,ICBC,ABC,CCB,PA
2011/2/25,,3.55909,,2.538323,,2.848276,6.563059,,2.029125,,,,8.624577,2.302699391,4.043484,4.287487,2.265329,,3.072752,4.064776,,5.804662,,3.519275,2.196612,4.045845,
2011/2/28,,3.565844,,2.544916,,2.86054,6.600999,,2.050732,,,,8.705808,2.302764,4.057712,4.307826,2.316045,,3.171872,4.103016,,5.846554,,3.585225,2.237183,4.11227,
2011/3/1,,3.619875,,2.564696,,2.889983,6.694572,,2.068409,,,,8.861376,2.320792,4.125277,4.389169,2.32168,,3.250126,4.152188,,5.953619,,3.639184,2.260367,4.15454,
2011/3/2,,3.653644,,2.584475,,2.919419,6.795737,,2.101801,,,,9.111623,2.343322,4.171513,4.467121,2.31041,,3.145788,4.135799,,6.111887,,3.603211,2.300937,4.118309,
2011/3/3,,3.74819,,2.624033,,2.961125,6.864057,,2.156801,,,,9.490406,2.38388,4.303094,4.558634,2.327315,,3.177089,4.223211,,6.237565,,3.639184,2.324121,4.160578,
2011/3/4,,3.822479,,2.630626,,2.978298,6.914591,,2.198056,,,,9.618941,2.41092,4.445343,4.595914,2.355491,,3.151005,4.310628,,6.307392,,3.699136,2.353099,4.208887,
2011/3/7,,3.822479,,2.643812,,2.995476,7.013263,,2.215732,,,,9.625769,2.442464,4.441787,4.612864,2.349856,,3.088402,4.294234,,6.312047,,3.68115,2.329916,4.19681,
2011/3/8,,3.815727,,2.61744,,2.990568,7.043582,,2.229483,,,,9.673075,2.428947,4.463124,4.619644,2.366761,,3.166656,4.354331,,6.321356,,3.711128,2.358895,4.263234,
2011/3/9,,3.795463,,2.61744,,3.00774,7.025895,,2.215732,,,,9.727205,2.437954,4.395552,4.612864,2.389302,,3.281428,4.408966,,6.279464,,3.765086,2.399466,4.335697,
2011/3/10,,3.741437,,2.55151,,2.934143,6.848831,,2.158767,,,,9.463374,2.374866,4.292423,4.48746,2.383667,,3.239692,4.370726,,6.125851,,3.741104,2.405262,4.335697,
2011/3/11,,3.667148,,2.544916,,2.909609,6.79827,,2.156801,,,,9.24016,2.361349,4.242632,4.44001,2.338585,,3.171872,4.316092,,6.042058,,3.657169,2.341508,4.257196,
